FLOORSMAX_AVG,FLOORSMAX_MEDI,FLOORSMAX_MODE,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_DAYS_CREDIT_MEAN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_MIN,CLOSED_DAYS_CREDIT_MIN,CLOSED_DAYS_CREDIT_MEAN,EXT_SOURCE_3,DAYS_EMPLOYED_PERC,DAYS_EMPLOYED,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_MEAN,BURO_CREDIT_TYPE_Microloan_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_DAYS_CREDIT_MAX,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_UPDATE_MEAN,APPROVED_AMT_ANNUITY_MEAN_APPROVED,APPROVED_AMT_ANNUITY_MAX_APPROVED,APPROVED_HOUR_APPR_PROCESS_START_MAX_APPROVED,APPROVED_DAYS_DECISION_MIN_APPROVED,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_DAYS_DECISION_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,PREV_CODE_REJECT_REASON_SCOFR_MEAN,PREV_CODE_REJECT_REASON_XAP_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_DAYS_DECISION_MIN,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,EXT_SOURCE_2,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,REG_CITY_NOT_LIVE_CITY,OCCUPATION_TYPE_Laborers,TARGET,FLAG_EMP_PHONE,ORGANIZATION_TYPE_XNA,NAME_INCOME_TYPE_Pensioner,NAME_EDUCATION_TYPE_Secondary / secondary special,REG_CITY_NOT_WORK_CITY,DAYS_ID_PUBLISH,CODE_GENDER,NAME_EDUCATION_TYPE_Higher education,NAME_INCOME_TYPE_Working,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,DAYS_BIRTH,SK_ID_CURR
0.0833,0.0833,0.0833,780.0,-572.5,-103.0,-1042.0,-1437.0,-974.5,0.1393757800997895,0.0673290349857309,-637.0,-349.0,-874.0,0.0,0.75,-103.0,0.25,-1437.0,-499.875,9251.775,9251.775,9.0,-606.0,1.0,-606.0,0.0,0.0,1.0,0.0,0.0,-606.0,-315.42105263157896,0.2629485927471776,-1134.0,1,0,True,1.0,1,False,False,True,0,-2120,0,False,True,2,2,-9461,100002
0.2917,0.2917,0.2917,1216.0,-606.0,-606.0,-606.0,-2586.0,-1665.6666666666667,0.5108562869992336,0.07086191470325082,-1188.0,-544.5,-1400.75,0.0,0.75,-606.0,0.25,-2586.0,-816.0,56553.99,98356.995,17.0,-2341.0,1.0,-1305.0,0.0,0.0,1.0,0.0,0.0,-2341.0,-1385.32,0.6222457752555098,-828.0,1,0,False,0.0,1,False,False,False,0,-291,1,True,False,1,1,-16765,100003
0.22628441302884367,0.22589908860235106,0.22231747643829936,4755.244784636594,-650.7920328352849,-416.9373693275492,-938.2117469352418,-1326.0,-867.0,0.7295666907060153,0.011813504147852568,-225.0,-488.5,-867.0,0.0,1.0,-408.0,0.0,-1326.0,-532.0,5357.25,5357.25,5.0,-815.0,1.0,-815.0,0.0,0.0,1.0,0.0,0.0,-815.0,-761.6666666666666,0.5559120833904428,-815.0,0,0,True,0.0,1,False,False,True,0,-2531,0,False,True,2,2,-19046,100004
0.22628441302884367,0.22589908860235106,0.22231747643829936,4755.244784636594,-650.7920328352849,-416.9373693275492,-938.2117469352418,-1875.81013725175,-1384.164146266571,0.5108562869992336,0.15990528808208365,-3039.0,651.8175038086872,-1083.0499098576292,0.0042077562557682685,0.5831126347741115,-489.3031990193065,0.412971895947952,-1762.372697704251,-546.6347346519167,21842.19,39954.51,15.0,-617.0,0.5555555555555556,-272.44444444444446,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,-617.0,-271.625,0.6504416904014653,-617.0,1,0,True,0.0,1,False,False,True,0,-2437,1,False,True,2,2,-19005,100006
0.22628441302884367,0.22589908860235106,0.22231747643829936,4755.244784636594,-650.7920328352849,-416.9373693275492,-938.2117469352418,-1149.0,-1149.0,0.5108562869992336,0.1524182219546458,-3038.0,-783.0,-1149.0,0.0,1.0,-1149.0,0.0,-1149.0,-783.0,12278.805,22678.785,15.0,-2357.0,1.0,-1222.8333333333333,0.16666666666666666,0.0,1.0,0.0,0.0,-2357.0,-1032.2424242424242,0.3227382869704046,-1106.0,0,0,False,0.0,1,False,False,True,1,-3458,0,False,True,2,2,-19932,100007
0.22628441302884367,0.22589908860235106,0.22231747643829936,471.0,-78.0,-78.0,-78.0,-1097.0,-1097.0,0.6212263380626669,0.09373708753910631,-1588.0,-391.3333333333333,-757.3333333333334,0.0,0.6666666666666666,-78.0,0.3333333333333333,-1097.0,-611.0,15839.69625,25309.575,13.0,-2536.0,0.8,-1192.0,0.0,0.0,1.0,0.0,0.0,-2536.0,-1237.8,0.3542247319929012,-2536.0,1,0,True,0.0,1,False,False,True,0,-477,0,False,False,2,2,-16941,100008
0.22628441302884367,0.22589908860235106,0.22231747643829936,1402.0,-591.75,-239.0,-1293.0,-2882.0,-1465.7142857142858,0.4920600938649263,0.2271737552620119,-3130.0,-794.9375,-1271.5,0.0,0.7777777777777778,-239.0,0.2222222222222222,-2882.0,-851.6111111111111,10051.412142857142,17341.605,18.0,-1562.0,1.0,-719.2857142857143,0.0,0.0,1.0,0.0,0.0,-1562.0,-864.4117647058823,0.7239998516953141,-1562.0,0,0,False,0.0,1,False,False,False,0,-619,1,True,False,2,2,-13778,100009
0.22628441302884367,0.22589908860235106,0.22231747643829936,689.0,-1138.0,-1138.0,-1138.0,-2741.0,-2741.0,0.5406544504453575,0.023819628647214854,-449.0,-119.5,-1939.5,0.0,0.5,-1138.0,0.5,-2741.0,-578.0,27463.41,27463.41,16.0,-1070.0,1.0,-1070.0,0.0,0.0,1.0,0.0,0.0,-1070.0,-915.9,0.7142792864482229,-1070.0,1,0,False,0.0,1,False,False,False,1,-2379,0,True,False,3,3,-18850,100010
0.22628441302884367,0.22589908860235106,0.22231747643829936,4755.244784636594,-650.7920328352849,-416.9373693275492,-938.2117469352418,-2508.0,-1773.0,0.7517237147741489,0.15685978417608948,-2384.1422542864284,-1293.25,-1773.0,0.0,1.0,-1309.0,0.0,-2508.0,-1454.75,18303.195,31295.25,17.0,-2508.0,0.75,-1784.5,0.25,0.0,0.75,0.25,0.0,-2508.0,-1150.923076923077,0.2057472880073281,0.0,1,0,False,0.0,0,True,True,True,0,-3514,1,False,False,2,2,-20099,100011
0.22628441302884367,0.22589908860235106,0.22231747643829936,4755.244784636594,-650.7920328352849,-416.9373693275492,-938.2117469352418,-1875.81013725175,-1384.164146266571,0.5108562869992336,0.13953970557744141,-2019.0,651.8175038086872,-1083.0499098576292,0.0042077562557682685,0.5831126347741115,-489.3031990193065,0.412971895947952,-1762.372697704251,-546.6347346519167,7894.155,11188.035,15.0,-1673.0,0.75,-779.75,0.0,0.0,1.0,0.0,0.0,-1673.0,-690.3125,0.7466436294590924,-1673.0,0,0,True,0.0,1,False,False,True,0,-3992,0,False,True,2,2,-14469,100012
